"ID";"Assetpfad";"Familie";"Status";"Verantwortlich";"Notiz";"Letzte Aenderung"
"MP0-0001";"Assets/_Game/Art/Actors/AshRunner/AshRunner3D/AshRunner.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0002";"Assets/_Game/Art/Actors/CoreGuardian/CoreGuardian3D/CoreGuardian.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0003";"Assets/_Game/Art/Actors/EmberEater/EmberEater3D/EmberEater.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0004";"Assets/_Game/Art/Actors/ForgeGuardian/ForgeGuardian3D/ForgeGuardian.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0005";"Assets/_Game/Art/Actors/Garon/Garon3D/Garon.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0006";"Assets/_Game/Art/Actors/GraniteShell/GraniteShell3D/GraniteShell.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0007";"Assets/_Game/Art/Actors/Ignivar/Ignivar3D/Ignivar.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0008";"Assets/_Game/Art/Actors/MoorThrower/MoorThrower3D/MoorThrower.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0009";"Assets/_Game/Art/Actors/Noctarion/Noctarion3D/Noctarion.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0010";"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Nutzer-Rueckbau 25.08.2026: archivierte produktive Low-Poly-Quelle wieder aktiv; Mid-Poly-Wanderer bleibt nur als Arbeitsstand erhalten";"2026-08-25"
"MP0-0011";"Assets/_Game/Art/Actors/RiftGuardian/RiftGuardian3D/RiftGuardian.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0012";"Assets/_Game/Art/Actors/Riftling/Riftling3D/Riftling.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0013";"Assets/_Game/Art/Actors/RootCharger/RootCharger3D/RootCharger.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0014";"Assets/_Game/Art/Actors/SealGuardian/SealGuardian3D/SealGuardian.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0015";"Assets/_Game/Art/Actors/Terrock/Terrock3D/Terrock.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0016";"Assets/_Game/Art/Actors/Wildling/Wildling3D/Wildling.glb";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0017";"Assets/_Game/Prefabs/Actors/3D/AshRunner_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0018";"Assets/_Game/Prefabs/Actors/3D/CoreGuardian_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0019";"Assets/_Game/Prefabs/Actors/3D/EmberEater_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0020";"Assets/_Game/Prefabs/Actors/3D/ForgeGuardian_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0021";"Assets/_Game/Prefabs/Actors/3D/Garon_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0022";"Assets/_Game/Prefabs/Actors/3D/GraniteShell_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0023";"Assets/_Game/Prefabs/Actors/3D/Ignivar_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0024";"Assets/_Game/Prefabs/Actors/3D/MoorThrower_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0025";"Assets/_Game/Prefabs/Actors/3D/Noctarion_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0026";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0027";"Assets/_Game/Prefabs/Actors/3D/RiftGuardian_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0028";"Assets/_Game/Prefabs/Actors/3D/Riftling_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0029";"Assets/_Game/Prefabs/Actors/3D/RootCharger_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
